"","202602 濟州島四寶團🇰🇷 日期/品項","現金 韓圜金額"," 付款人","信用卡 台幣金額"," 付款人"," 備註 ","","幣別：₩ 給🍋 Ziyu 🐟"," Mei 🐱","Xiu 🐵","","Ning 🍋 給 🐟 Ning 🍋","Ziyu 🐟  Mei 🐱","Xiu 🐵 Xiu 🐵","Mei 🐱 ","給 🐱 Ziyu 🐟"," Ning 🍋","Xiu 🐵","","給 🐵 Ziyu 🐟"," Ning 🍋"," Mei 🐱","","",""
"行前共同","租車","","","$20,039","","","","","","","","","","","","","","","","","","","","",""
"","韓屋住宿","","","$15,383","","","","","","","","","","","","","","","","","","","","",""
"","住宿","","","$17,051","","","","","","","","","","","","","","","","","","","","",""
"","Esim","","","$1,886","","","","","","","","","","","","","","","","","","","","",""
"","國泰旅平險","","","$3,748","","","","","","","","$937","$937","$937","","","","","","","","","","",""
"","小計","₩0","","$54,359","","","","","","","","","","","","","","","","","","","","",""
"","2月14日","","","","","45","","","","","","","","","","","","","","","","","","",""
"共同","加油","₩89,500","","$1,959","","","","","","","","","","","","","","","","","","","","",""
"","早餐湯飯","₩45,000","","$985","","","","","","","","","","","","","","","","","","","","",""
"","君悅汗蒸幕","₩120,000","","$2,629","","","","","","","","","","","","","","","","","","","","",""
"","GS25地瓜","₩2,000","","$44","","","","","","","","","","","","","","","","","","","","",""
"","GS25蟹肉棒","₩2,500","","$55","","","","","","","","","","","","","","","","","","","","",""
"","MGC咖啡*3","₩8,500","","$186","","","","","","","","","","","","","","","","","","","","",""
"","晚餐蓮洞黑豬肉","₩94,000","","$2,060","","","","","","","","","","","","","","","","","","","","",""
"","市區停車費","₩15,000","","$333",""," 💰","","","","","","","","","","","","","","","","","","",""
"","樂天超市","₩69,200","","$1,516","","","","","","","","","","","","","","","","","","","","",""
"","小計","₩445,700","","$9,767","","","","","","","","","","","","","","","","","","","","",""
"🍋","Mandarin island香水","₩104,000","","$2,279",""," 💳","","","","","","","","","","","","","","","","","","",""
"","雪花秀","₩111,000","","$2,435","","","","","","","","","","","","","","","","","","","","",""
"","3CE唇膏","₩37,500","","$822","","","","","","","","","","","","","","","","","","","","",""
"","Planer House","₩67,000","","$1,468","","","","","","","","","","","","","","","","","","","","",""
"","小黃人衣服","₩49,000","","$1,074","","","","","","","","","","","","","","","","","","","","",""
"","MARITHE包包","₩76,400","","$1,672","","","","","","","","","","","","","","","","","","","","",""
